2023-05-02 10:00:42,485 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: dashboard_html_allow_iframes (bool): True
2023-05-02 10:00:42,485 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: dashboard_html_allow_inline_styles (bool): True
2023-05-02 10:00:42,485 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: dashboard_html_wrap_embed (bool): True
2023-05-02 10:00:42,485 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: dashboards_csp_allowed_domains (str): *.api.splkmobile.com
2023-05-02 10:00:42,485 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: dedicatedIoThreads (int): 0
2023-05-02 10:00:42,485 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: docsCheckerBaseURL (str): https://quickdraw.splunk.com/help
2023-05-02 10:00:42,485 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: ecdhCurves (str): prime256v1, secp384r1, secp521r1
2023-05-02 10:00:42,486 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: embed_footer (str): splunk>
2023-05-02 10:00:42,486 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: embed_uri (str): 
2023-05-02 10:00:42,486 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enableSearchJobXslt (bool): True
2023-05-02 10:00:42,486 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enableSplunkWebClientNetloc (bool): False
2023-05-02 10:00:42,486 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enableSplunkWebSSL (bool): False
2023-05-02 10:00:42,486 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enableWebDebug (bool): False
2023-05-02 10:00:42,486 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enable_autocomplete_login (bool): False
2023-05-02 10:00:42,486 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enable_gzip (bool): True
2023-05-02 10:00:42,486 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enable_insecure_login (bool): False
2023-05-02 10:00:42,486 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enable_insecure_pdfgen (bool): False
2023-05-02 10:00:42,486 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enable_pivot_adhoc_acceleration (bool): True
2023-05-02 10:00:42,487 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enable_proxy_write (bool): True
2023-05-02 10:00:42,487 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enable_risky_command_check (bool): True
2023-05-02 10:00:42,487 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enable_risky_command_check_dashboard (bool): True
2023-05-02 10:00:42,487 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enable_secure_entity_move (bool): True
2023-05-02 10:00:42,487 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enable_splunk_dashboard_app_feature (bool): True
2023-05-02 10:00:42,487 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enabled_decomposers (str): plot
2023-05-02 10:00:42,487 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: enforce_dashboards_csp (bool): True
